keyword,count
accounting,2
economic structure,2
TA framework,2
CIF framework,2
supply chain,2
productivity,2
physical activity,2
urban productivity,2
urban spatial structures,2
Mitigation options,2
ecological benefits,2
2020,2
local development,2
mental health,2
local competitiveness,2
poverty,2
thermal comfort,2
revenue,2
local authorities,2
costs,2
urban greening,2
building design,2
extreme heat,2
energy shocks,2
livelihood options,2
Turkey,2
Key Infrastructure,2
humidity,2
remittance flows,2
natural resource use,2
urban life,2
education,2
adaptation plans,2
cascading risks,2
physical infrastructure,2
urban activities,2
Urban climate governance,2
transparency,2
technical capacity,2
capacity building,2
learning,2
global networks,2
integrated action,2
climate policy,2
local communities,2
ins,2
Global Human Settlement Layer,2
Urban expansion,2
multiple urban growth typologies,2
global urban expansion,2
grasslands,2
modal shifts,2
water,2
2 emissions,2
Pacific,2
Caribbean,2
urban per capita emissions,2
Regional urban population share,2
Global Environmental Change,2
uncertainties,2
population growth,2
cumulative emissions,2
SSP4,2
urban footprint,2
2050,2
Scenarios,2
reference scenario,2
electricity supply,2
Urban,2
urban emissions scenarios,2
low,2
policy learning,2
carbon capture,2
sector coupling,2
demand response,2
CMIP6,2
demand flexibility,2
electricity grid,2
street networks,2
city blocks,2
cooling technologies,2
resource flows,2
use,2
cascading effects,2
spatial structure,2
compact urban form,2
ASI,2
destination accessibility,2
VMT,2
jobs,2
housing,2
individual behaviour,2
energy use,2
sustainable cities,2
