keyword,count
India,70
stranded assets,13
climate targets,11
coal power units,7
health impacts,7
employment,6
installed capacity,6
employment loss,6
social cost,5
optimal retirement year,5
Nature Communications,5
carbon emissions,4
Health benefit,4
pipeline unit,4
discount rate,4
capacity factor,4
Central Electricity Authority,4
China,4
renewable energy,3
optimal retirement schedule,3
optimization,3
binary decision variable,3
coal power capacity,3
climate goals,3
uncertainty analysis,3
coal,3
shaded areas,3
Esri,3
employment losses,3
air pollution,3
human health,3
Global Energy Monitor,3
International Institute for,3
coal phaseout,2
climate change,2
power plant,2
energy transition,2
tax,2
ts,2
air pollutants,2
air quality,2
coal power transition,2
coal power transitions,2
CERP,2
IPCC,2
Gurobi Optimizer,2
spatial distribution,2
Maharashtra,2
Uttar Pradesh,2
age structure,2
climate target pathways,2
coal capacity,2
pipeline units,2
Eastern Coal Belt,2
emissions reductions,2
units,2
state level,2
Plant loss,2
cumulative values,2
transition process,2
retirement year,2
operation units,2
power transition,2
health,2
SCC,2
premature death,2
health burden,2
indirect taxes,2
GST,2
coal tax,2
Indian power sector,2
International Labour Organization,2
electricity generation,2
operational capacity,2
Global Energy Monitor database,2
WEPP database,2
visualization,2
Zenodo,2
policy,2
Sustainable Development,2
phaseout roadmaps,1
ambitious,1
coal power retirement strategies,1
U ttar Pradesh,1
climate mitigation,1
coal power,1
,1
revenue streams,1
coal mining industry,1
social bene,1
agricultural production,1
reduced labor productivity,1
property losses,1
induced migration,1
associated,1
public health,1
indeveloping economies,1
Fudan Tyndall Center,1
Shanghai Key Laboratory,1
Atmospheric Particle Pollution,1
