keyword,count
India,27
water stress index,8
power capacity,8
SHR,7
Indian coal plants,5
load factor,5
ML models,5
Validation,5
water stress,4
Indian coal plant,4
age,4
Data curation,4
databases,3
Indian coal plant units,3
coal prices,3
Global Energy Monitor,3
GEM,3
supercritical,3
CEEW report,3
features,3
coal price,3
Grid search,3
supercritical  units,3
Visualization,3
ology,3
Central Electricity,3
Authority,3
Indian,2
Station heat rate,2
water stress risk,2
visualization,2
air pollution,2
temperature,2
WRI water stress index,2
database,2
CEEW database,2
GEM database,2
load,2
SHR measurements,2
price,2
plant load factor,2
Water stress level,2
hyperparameters,2
Code availability,2
parity plots,2
unit types,2
MAE MAPE,2
Random Forest Regressor,2
Linear Regression,2
Ridge Regression,2
coal plants,2
Resources,2
analysis,2
Supervision,2
machine,2
ScienceDirect,1
MIT,1
history,1
Dataset link,1
Rate,1
Machine  Learning,1
Machine  learning,1
heat rate,1
SHR dataset,1
machine  learning,1
Social media,1
open access article,1
Indian coal power plants,1
prices,1
Indian coal power units,1
G,1
power system regions,1
Water Resources,1
Institute,1
data sources,1
Data accessibility,1
modeling,1
spatial factors,1
,1
ML algorithms,1
higher SHR,1
ﬁtting curve,1
commission,1
boiler types,1
SHR values,1
linear estimations,1
heat rate curves,1
linear computations,1
geographical  distribution,1
piece,1
SHR curves,1
heat rate approximation,1
ML predictions,1
boiler design,1
steam pressure,1
steam pressures,1
coal plant units,1
boiler type,1
Geographical  distributions,1
Data preparation,1
