keyword,count
bark beetles,38
bassiana,30
phenolic compounds,17
aglucones,16
stilbenes,13
BbGT86,13
phenolic aglucones,12
SI Appendix,12
BbMT85,12
Beauveria bassiana,11
bark beetle,10
virulence,10
entomopathogenic fungus,10
phenolic glucosides,10
resveratrol,10
flavonoids,9
insects,8
fungi,8
PDA plates,8
semiartificial diet,7
entomopathogen,6
metabolites,6
beetles,6
Norway spruce,5
piceid,5
uninfected bark beetles,5
methylglucosides,5
genes,5
methylglucosylation pathway,5
NCBI database,5
Microbiol,5
pathogens,4
pathogenic microbes,4
mutant strains,4
methylglucosylation,4
phenolics,4
herbivores,4
insect herbivores,4
phloem,4
hydrolysis,4
lowercase letters,4
fungus,4
yeast,4
yeast cells,4
ion chromatograms,4
negative ionization mode,4
Genomic DNA,4
entomopathogenic fungi,4
25 °C,4
negative control,4
Entomol,4
partial,4
herbivorous insects,3
methylglucoside derivatives,3
antifungal activity,3
detoxification process,3
organisms,3
antimicrobial activity,3
isorhapontin,3
isorhapontigenin,3
spruce bark,3
methylglucosylated resveratrols,3
taxifolin,3
400 µM,3
methylglucosylated phenolics,3
qPCR,3
uninfected control,3
fungal products,3
Statistically significant differences,3
biosynthesis,3
Box plots,3
median values,3
double knockout,3
UHPLC,3
Methylglucosylation,3
spruce bark diet,3
Physiol,3
Biotechnol,3
conifer antimicrobial defenses,2
fungal infection,2
insect host,2
larvae,2
pathogen susceptibility,2
conifer bark beetles,2
Stilbenes,2
laccase,2
recombinant proteins,2
fungal virulence,2
Bark Beetles,2
metabolism,2
flavonoid taxifolin,2
adult bark beetles,2
callow adults,2
castanospermine,2
glucosides,2
stilbene glucosides,2
Norway spruce bark,2
fungal pathogens,2
Bark beetles,2
negative controls,2
asterisks,2
growth medium,2
metabolic stability,2
enzymes,2
stilbene aglucone resveratrol,2
Mortality,2
bassiana strains,2
stilbene aglucone,2
bass,2
atrol,2
Methylglucosylated phenolics,2
methylglucosylated resveratrol,2
homologous recombination,2
gt86,2
mutants,2
growth,2
whiskers,2
interquartile range,2
Phylogenetic analysis,2
Mass spectra,2
standards,2
UDP,2
infected beetles,2
binary vectors,2
western corn rootworm,2
Hypocreales,2
rice sheath blight fungus,2
natural products,2
Glycosyltransferases,2
proteins,2
plant defense compounds,2
monoterpenes,2
MilliQ water,2
fungal conidia,2
MeOH,2
SCIEX,2
Phenolic Compounds,2
Primer pairs,2
gene accession numbers,2
ATMT,2
Chemical Ecology,2
Origin 2023,2
figure legends,2
Insect Symbiosis,2
Max Planck Society,2
Resveratrol,2
Sclerotinia sclerotiorum,2
spruce bark beetle,2
Curculionidae,2
small subunit ribosomal RNA gene,2
internal transcribed spacer 1,2
ribosomal RNA gene,2
internal transcribed spacer 2,2
complete,2
large subunit ribosomal RNA gene,2
ogenic fungus infection,1
Natural Product Biosynthesis,1
competing interest,1
PNAS Direct Submission,1
PNAS,1
Molecular Plant Science,1
China,1
spruce trees,1
antimicrobial derivatives,1
genetic transformation,1
antimicrobial defense compounds,1
phloem tissue,1
antimicrobial phenolic glucosides,1
"flav
onoids",1
fungal parasite,1
decreased methylglucoside formation,1
reduced,1
host insects,1
conifer phloem,1
phen,1
higher,1
trophic levels,1
parasitoids,1
invasive spongy moth,1
Lymantria dispar,1
gypsy moth,1
tree foliage,1
North America,1
ials,1
herbivore digestive processes,1
ingested defenses,1
antimicrobial defenses,1
is,1
temperate forests,1
global temperatures,1
Conifer bark beetles,1
insect hosts,1
insecticides,1
spruce forests,1
bark beetle population,1
antimicrobial phenolic compounds,1
Fungi,1
pterocarpans,1
catechol dioxygenase activity,1
gly,1
xylose,1
Rhizoctonia,1
nontoxic derivative,1
Anthraquinones,1
stilbenoids,1
metabolic fate,1
gene knockout mutants,1
Phenolic Glucosides,1
bark beetle host trees,1
olin,1
larval frass,1
deglycosylation activity,1
bark beetle proteins,1
glucosidase activity,1
spruce phenolic glucosides,1
isomer,1
diarylethenes,1
intact trees,1
ethene double bond,1
bark beetle metabolism,1
Entomopathogenic Fungus Met,1
Methylglucoside Derivatives,1
callow adult bark beetles,1
phenolic substances,1
in bark beetles,1
Immunostaining,1
eGFP,1
systemic fungal infection,1
beetle body,1
Untargeted metabolite analyses,1
liquid chromatography,1
quad,1
Infected bark beetles,1
